Site,Name,Lat,Lon,Start,End,Years,%,AWS
4064,POONDINIA,-20.45,118.8,Jun-13,Feb-36,22.8,100,N
4065,RPF 672 MILE,-22.7,121.1,Jan-13,Feb-47,34.1,100,N
4066,RPF 798 MILE,-21.2,121.2,Jan-13,Sep-42,28.5,96,N
4067,SHAW RIVER,-20.55,119.3,Jan-17,Jun-42,22.8,89,N
4068,WALLAL DOWNS,-19.7789,120.6417,Jan 1897,Jun-23,116,92,N
4069,WARRAWOONA,-21.3,119.8,Nov 1899,Dec-14,15.2,100,N
4070,COONGAN HOTEL,-20.9,119.7,Jan 1895,Nov-31,25.1,68,N
4071,PYRAMID 1,-21.05,117.45,Jan 1885,Dec 1894,9.2,92,N
4072,ROSEMARY ISLAND,-20.4833,116.5333,Oct-63,Aug-64,0.9,100,N
4074,GOLDSWORTHY,-20.3422,119.5206,Oct-66,May-92,25.7,100,N
4076,HARDING RIVER 2,-21.175,117.2208,Jan-84,Dec-86,1.9,64,N
4077,BARRAMINE,-20.7167,120.85,Sep-14,Nov-18,4.3,100,N
4079,YANDEE,-21.3625,118.8783,May-71,Aug-82,11.1,98,N
4080,CALLAWA,-20.635,120.5,Apr-64,Dec-70,4.9,73,N
4081,CORUNNA DOWNS AIRSTRIP,-21.4333,119.7833,Oct-43,Oct-45,2.1,100,N
4082,CAPE LAMBERT,-20.615,117.1633,Dec-71,Oct-03,25.8,81,N
4083,KARRATHA AERO,-20.7097,116.7742,May-72,Jan-24,50.2,97,Y
4084,SHAY GAP,-20.4958,120.1672,Aug-72,Oct-93,18.8,89,N
4085,TAMBOURAH,-21.75,119.1833,Jan 1898,Dec-01,4,100,N
4086,SHERLOCK,-20.8956,117.6447,Jan-56,Jun-23,47.3,70,N
4087,HARDING RIVER 3,-21.2333,117.05,Jan-84,Dec-86,2,67,N
4088,NORTH POLE,-21.1467,119.4333,Mar-77,Feb-84,4.3,62,N
4089,WICKHAM,-20.6744,117.1428,Feb-81,Dec-10,28.1,94,N
4090,ROEBOURNE AERO,-20.7594,117.1583,Jun-01,Jan-24,22.4,99,Y
4092,HARDING DAM,-20.9786,117.0953,Apr-83,Dec-04,14.6,67,N
4093,STRELLEY PUMPING STATION,-20.3292,119.1878,Dec-83,Feb-01,13.7,79,N
4094,NIMINGARRA MINE,-20.4119,120.0103,Sep-89,Feb-92,2.5,100,N
4096,MOUNT DIVIDE,-22.4272,120.8578,Jan-88,Nov-96,8.4,94,N
4097,DAMPIER PORT,-20.6175,116.7517,Jul-91,Sep-01,10.3,100,N
4098,DE GREY BOREFIELD,-20.2906,119.28,Jun-90,Feb-01,10,93,N
4099,KARRATHA TOWN,-20.7381,116.8489,May-92,Apr-94,1.4,71,N
4100,BEDOUT ISLAND,-19.5894,119.1,Jun-12,Sep-12,0.3,75,Y
4101,R 1 BOREHOLE,-20.3167,119.3333,Jan-73,Nov-83,5.9,54,
4102,MEENTHEENA,-21.2669,120.4544,Dec-93,Sep-23,11.6,39,N
4103,NIFTY COPPER MINE,-21.6525,121.5592,Apr-96,Feb-13,13.2,78,N
4105,NULLAGINE NORTH,-21.8603,120.1592,Sep-99,Nov-99,0.3,100,N
4106,MARBLE BAR,-21.1756,119.7497,Sep-00,Jan-24,23.2,99,Y
5000,BOOLALOO,-22.5833,115.85,Jul-11,Jan-51,38.8,98,N
5001,COOLAWANYAH,-21.8047,117.8056,Jan-23,Jan-24,99.8,99,N
5002,DUCK CREEK,-22.515,116.5825,Jan-46,Jul-98,19.8,38,N
5003,ETHEL CREEK,-22.8972,120.1733,Jan-07,Jul-15,104.1,96,N
